game_id,week,home_team_id,home_conference_id,away_team_id,away_conference_id,Conference
1,1,1,8,57,6,FALSE
2,1,2,7,51,11,FALSE
3,1,3,10,84,9,FALSE
4,1,4,11,103,3,FALSE
5,1,5,9,7,10,FALSE
6,1,6,9,40,12,FALSE
7,1,8,11,15,7,FALSE
8,1,9,6,60,7,FALSE
9,1,10,10,98,9,FALSE
10,1,11,7,23,11,FALSE
11,1,12,3,27,2,FALSE
12,1,13,8,41,4,FALSE
13,1,14,2,34,8,FALSE
14,1,16,7,36,11,FALSE
15,1,17,6,58,12,FALSE
16,1,18,9,56,4,FALSE
17,1,19,7,89,5,FALSE
18,1,20,5,42,4,FALSE
19,1,21,12,43,4,FALSE
20,1,22,2,39,8,FALSE
21,1,24,9,78,7,FALSE
22,1,25,8,26,1,FALSE
23,1,28,12,121,2,FALSE
24,1,29,7,63,5,FALSE
25,1,30,5,31,10,FALSE
26,1,32,5,70,8,FALSE
27,1,33,2,111,5,FALSE
28,1,35,10,67,1,FALSE
29,1,37,11,50,5,FALSE
30,1,38,2,105,11,FALSE
31,1,44,3,128,7,FALSE
32,1,45,3,74,2,FALSE
33,1,46,3,116,9,FALSE
34,1,47,7,68,2,FALSE
35,1,48,10,49,6,FALSE
36,1,52,11,71,8,FALSE
37,1,53,2,54,10,FALSE
38,1,55,5,96,1,FALSE
39,1,59,2,85,9,FALSE
40,1,61,4,87,2,FALSE
41,1,62,4,65,10,FALSE
42,1,64,4,91,8,FALSE
43,1,66,10,99,2,FALSE
44,1,69,4,72,6,FALSE
45,1,73,7,75,5,FALSE
46,1,76,4,77,6,FALSE
47,1,79,4,80,3,FALSE
48,1,81,3,82,5,FALSE
49,1,83,10,86,4,FALSE
50,1,88,4,92,8,FALSE
51,1,90,4,93,1,FALSE
52,1,94,11,95,10,FALSE
53,1,97,5,100,3,FALSE
54,1,101,1,104,10,FALSE
55,1,102,10,106,3,FALSE
56,1,107,7,108,11,FALSE
57,1,109,1,117,8,FALSE
58,1,110,1,113,9,FALSE
59,1,112,1,114,8,FALSE
60,1,115,9,118,5,FALSE
61,1,119,5,120,10,FALSE
62,1,122,2,124,9,FALSE
63,1,123,2,125,9,FALSE
64,1,126,3,127,5,FALSE
65,1,129,4,130,8,FALSE
66,2,1,8,39,8,TRUE
67,2,2,7,15,7,TRUE
68,2,3,10,10,10,TRUE
69,2,4,11,108,11,TRUE
70,2,5,9,84,9,TRUE
71,2,6,9,115,9,TRUE
72,2,7,10,65,10,TRUE
73,2,8,11,36,11,TRUE
74,2,9,6,77,6,TRUE
75,2,11,7,16,7,TRUE
76,2,12,3,100,3,TRUE
77,2,13,8,92,8,TRUE
78,2,14,2,121,2,TRUE
79,2,17,6,57,6,TRUE
80,2,18,9,125,9,TRUE
81,2,19,7,29,7,TRUE
82,2,20,5,119,5,TRUE
83,2,21,12,58,12,TRUE
84,2,22,2,122,2,TRUE
85,2,23,11,37,11,TRUE
86,2,24,9,116,9,TRUE
87,2,25,8,114,8,TRUE
88,2,26,1,67,1,TRUE
89,2,27,2,33,2,TRUE
90,2,28,12,40,12,TRUE
91,2,30,5,50,5,TRUE
92,2,31,10,48,10,TRUE
93,2,32,5,55,5,TRUE
94,2,34,8,117,8,TRUE
95,2,35,10,54,10,TRUE
96,2,38,2,68,2,TRUE
97,2,41,4,43,4,TRUE
98,2,42,4,90,4,TRUE
99,2,44,3,45,3,TRUE
100,2,46,3,80,3,TRUE
101,2,47,7,60,7,TRUE
102,2,49,6,72,6,TRUE
103,2,51,11,94,11,TRUE
104,2,52,11,105,11,TRUE
105,2,53,2,59,2,TRUE
106,2,56,4,76,4,TRUE
107,2,61,4,79,4,TRUE
108,2,62,4,64,4,TRUE
109,2,63,5,75,5,TRUE
110,2,66,10,95,10,TRUE
111,2,69,4,129,4,TRUE
112,2,70,8,71,8,TRUE
113,2,73,7,78,7,TRUE
114,2,74,2,87,2,TRUE
115,2,81,3,103,3,TRUE
116,2,82,5,89,5,TRUE
117,2,83,10,120,10,TRUE
118,2,85,9,98,9,TRUE
119,2,86,4,88,4,TRUE
120,2,91,8,130,8,TRUE
121,2,93,1,96,1,TRUE
122,2,97,5,111,5,TRUE
123,2,99,2,123,2,TRUE
124,2,101,1,110,1,TRUE
125,2,102,10,104,10,TRUE
126,2,106,3,126,3,TRUE
127,2,107,7,128,7,TRUE
128,2,109,1,112,1,TRUE
129,2,113,9,124,9,TRUE
130,2,118,5,127,5,TRUE
